FIPS,county,state,population
13005,Washington, Florida,"25,473"
13007,Appling, Georgia,"18,386"
13009,Atkinson, Georgia,"8,165"
13011,Bacon, Georgia,"11,164"
13013,Baker, Georgia,"3,038"
13015,Baldwin, Georgia,"44,890"
13017,Banks, Georgia,"19,234"
13019,Barrow, Georgia,"83,240"
13021,Bartow, Georgia,"107,738"
13023,Ben Hill, Georgia,"16,700"
13025,Berrien, Georgia,"19,397"
13027,Bibb, Georgia,"153,159"
13029,Bleckley, Georgia,"12,873"
13031,Brantley, Georgia,"19,109"
13033,Brooks, Georgia,"15,457"
13035,Bryan, Georgia,"39,627"
13037,Bulloch, Georgia,"79,608"
13039,Burke, Georgia,"22,383"
13043,Butts, Georgia,"24,936"
13045,Calhoun, Georgia,"6,189"
13047,Camden, Georgia,"54,666"
13049,Candler, Georgia,"10,803"
13051,Carroll, Georgia,"119,992"
13053,Catoosa, Georgia,"67,580"
13055,Charlton, Georgia,"13,392"
13057,Chatham, Georgia,"289,430"
13059,Chattahoochee, Georgia,"10,907"
13061,Chattooga, Georgia,"24,789"
13063,Cherokee, Georgia,"258,773"
13065,Clarke, Georgia,"128,331"
13067,Clay, Georgia,"2,834"
13069,Clayton, Georgia,"292,256"
13071,Clinch, Georgia,"6,618"
13073,Cobb, Georgia,"760,141"
13075,Coffee, Georgia,"43,273"
13077,Colquitt, Georgia,"45,600"
13079,Columbia, Georgia,"156,714"
13081,Cook, Georgia,"17,270"
13083,Coweta, Georgia,"148,509"
13085,Crawford, Georgia,"12,404"
13087,Crisp, Georgia,"22,372"
13089,Dade, Georgia,"16,116"
13091,Dawson, Georgia,"26,108"
13093,Decatur, Georgia,"26,404"
13095,DeKalb, Georgia,"759,297"
13097,Dodge, Georgia,"20,605"
13099,Dooly, Georgia,"13,390"
13101,Dougherty, Georgia,"87,956"
13103,Douglas, Georgia,"146,343"
13105,Early, Georgia,"10,190"
13107,Echols, Georgia,"4,006"
13109,Effingham, Georgia,"64,296"
13111,Elbert, Georgia,"19,194"
13113,Emanuel, Georgia,"22,646"
13115,Evans, Georgia,"10,654"
13117,Fannin, Georgia,"26,188"
13119,Fayette, Georgia,"114,421"
13121,Floyd, Georgia,"98,498"
13123,Forsyth, Georgia,"244,252"
13125,Franklin, Georgia,"23,349"
13127,Fulton, Georgia,"1,063,937"
13129,Gilmer, Georgia,"31,369"
13131,Glascock, Georgia,"2,971"
13133,Glynn, Georgia,"85,292"
13135,Gordon, Georgia,"57,963"
13137,Grady, Georgia,"24,633"
13139,Greene, Georgia,"18,324"
13141,Gwinnett, Georgia,"936,250"
13143,Habersham, Georgia,"45,328"
13145,Hall, Georgia,"204,441"
13147,Hancock, Georgia,"8,457"
13149,Haralson, Georgia,"29,792"
13151,Harris, Georgia,"35,236"
13153,Hart, Georgia,"26,205"
13155,Heard, Georgia,"11,923"
13157,Henry, Georgia,"234,561"
13159,Houston, Georgia,"157,863"
13161,Irwin, Georgia,"9,416"
13163,Jackson, Georgia,"72,977"
13165,Jasper, Georgia,"14,219"
13167,Jeff Davis, Georgia,"15,115"
13169,Jefferson, Georgia,"15,362"
13171,Jenkins, Georgia,"8,676"
13173,Johnson, Georgia,"9,643"
13175,Jones, Georgia,"28,735"
13177,Lamar, Georgia,"19,077"
13179,Lanier, Georgia,"10,423"
13181,Laurens, Georgia,"47,546"
13183,Lee, Georgia,"29,992"
13185,Liberty, Georgia,"61,435"
13187,Lincoln, Georgia,"7,921"
13189,Long, Georgia,"19,559"
13191,Lowndes, Georgia,"117,406"
13193,Lumpkin, Georgia,"33,610"
13195,McDuffie, Georgia,"21,312"
13197,McIntosh, Georgia,"14,378"
13199,Macon, Georgia,"12,947"
13201,Madison, Georgia,"29,880"
