FIPS,county,state,number,population
16039,Elmore,ID,ID-501,"24,030"
16041,Franklin,ID,ID-501,845
16043,Fremont,ID,ID-501,"8,756"
16045,Gem,ID,ID-501,"4,315"
16047,Gooding,ID,ID-501,"27,511"
16049,Idaho,ID,ID-501,"13,876"
16051,Jefferson,ID,ID-501,"13,099"
16053,Jerome,ID,ID-501,"18,112"
16055,Kootenai,ID,ID-501,"15,179"
16057,Latah,ID,ID-501,"16,667"
16059,Lemhi,ID,ID-501,"29,871"
16061,Lewis,ID,ID-501,"24,412"
16063,Lincoln,ID,ID-501,"165,697"
16065,Madison,ID,ID-501,"40,108"
16067,Minidoka,ID,ID-501,"8,027"
16069,Nez Perce,ID,ID-501,"3,838"
16071,Oneida,ID,ID-501,"5,366"
16073,Owyhee,ID,ID-501,"39,907"
16075,Payette,ID,ID-501,"21,039"
16077,Power,ID,ID-501,"40,408"
16079,Shoshone,ID,ID-501,"4,531"
16081,Teton,ID,ID-501,"11,823"
16083,Twin Falls,ID,ID-501,"23,951"
16085,Valley,ID,ID-501,"7,681"
16087,Washington,ID,ID-501,"12,882"
17001,Adams,IL,IL-519,"12,142"
17003,Alexander,IL,IL-510,"86,878"
17005,Bond,IL,IL-510,"11,392"
17007,Boone,IL,IL-501,"10,194"
17009,Brown,IL,IL-519,"65,435"
17011,Bureau,IL,IL-518,"5,761"
17013,Calhoun,IL,IL-515,"16,426"
17015,Carroll,IL,IL-518,"53,544"
17017,Cass,IL,IL-519,"6,578"
17019,Champaign,IL,IL-503,"32,628"
17021,Christian,IL,IL-515,"4,739"
17023,Clark,IL,IL-515,"14,305"
17025,Clay,IL,IL-515,"12,147"
17027,Clinton,IL,IL-520,"209,689"
17029,Coles,IL,IL-515,"32,304"
17031,Cook,IL,IL-511,"15,441"
17033,Crawford,IL,IL-515,"13,184"
17035,Cumberland,IL,IL-515,"37,562"
17037,De Kalb,IL,IL-509,"50,621"
17039,De Witt,IL,IL-512,"5,150,233"
17041,Douglas,IL,IL-515,"18,667"
17043,Du Page,IL,IL-514,"10,766"
17045,Edgar,IL,IL-515,"104,897"
17047,Edwards,IL,IL-510,"15,638"
